      Achro 03 M2: Break electrical connections for TCOs, BPM cables, fast corr magnets;1;139
      Achro 03 M2: Remove old top magnet halves;1;162,163,164,165,3,117
      Achro 03 M2: Install local supports for vac chambers;0.5;166
      Achro 03 M2: Detach VCs from supports on lower block and support with local (temp) supports;0.5;167
      Achro 03 M2: Remove old bottom magnet blocks;1;168
      Achro 03 M2: Exchange VC aluminium clamps to lock all the bellows;0.25;169
      Achro 03 M2: Mount new bottom-blocks (in the lowered position);1;170,130
      Achro 03 M2: Rough alignment of bottom-blocks (blocks are still lowered at this stage);2;171,146
      Achro 03 M2: Prepare chamber bending equipment on lower magnet block;0.75;172
      Achro 03 M2: Raise lower magnet blocks while bending the VC (changing VC clamps during bending);1;173,4
      Achro 03 M2: Preloading lower magnet halves;1;174
      Achro 03 M2: Replace temp VC supports with final supports;1;175
      Achro 03 M2: Leak test, RGA;2;176
      Achro 03 M2: Reinstall BPM cables, route thermocouples;1;177
      Achro 03 M2: Final inspection;0.5;178
      Achro 03 M2: Close magnet blocks (possibly requiring another alignment step);1;179
      Achro 03 M2: Leak test (2nd);2;180
      Achro 03 M2: Measure/correct block shapes;2;181
      Achro 03 M2: Connect water connections for vacuum chambers;1;182
      Achro 03 M2: Connect electrical connections for vacuum chambers (TCOs);1;182
      Achro 03 M2: Make electrical connections;1;182
      Achro 03 M2: Make water connections;1;182
   Achro 03: Remove pumping stations;1;27,53,79,105,131,157,183
